id,season,city,date,match_type,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,target_runs,target_overs,player_of_match,venue,super_over,method,umpire1,umpire2
335982,2008,Bangalore,18-04-2008,League,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,runs,Kolkata Knight Riders,140,0,223,20,BB McCullum,M Chinnaswamy Stadium,N,NA,Asad Rauf,RE Koertzen
335983,2008,Chandigarh,19-04-2008,League,Kings XI Punjab,Chennai Super Kings,Chennai Super Kings,bat,runs,Chennai Super Kings,33,0,241,20,MEK Hussey,"Punjab Cricket Association Stadium, Mohali",N,NA,MR Benson,SL Shastri
335984,2008,Delhi,19-04-2008,League,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,bat,wickets,Delhi Daredevils,9,9,130,20,MF Maharoof,Feroz Shah Kotla,N,NA,Aleem Dar,GA Pratapkumar
335985,2008,Mumbai,20-04-2008,League,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,bat,wickets,Royal Challengers Bangalore,5,5,166,20,MV Boucher,Wankhede Stadium,N,NA,SJ Davis,DJ Harper
335986,2008,Kolkata,20-04-2008,League,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,wickets,Kolkata Knight Riders,5,5,111,20,DJ Hussey,Eden Gardens,N,NA,BF Bowden,K Hariharan
335987,2008,Jaipur,21-04-2008,League,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,wickets,Rajasthan Royals,6,6,167,20,SR Watson,Sawai Mansingh Stadium,N,NA,Aleem Dar,RB Tiffin
335988,2008,Hyderabad,22-04-2008,League,Deccan Chargers,Delhi Daredevils,Deccan Chargers,bat,wickets,Delhi Daredevils,9,9,143,20,V Sehwag,"Rajiv Gandhi International Stadium, Uppal",N,NA,IL Howell,AM Saheba
335989,2008,Chennai,23-04-2008,League,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,runs,Chennai Super Kings,6,0,209,20,ML Hayden,"MA Chidambaram Stadium, Chepauk",N,NA,DJ Harper,GA Pratapkumar
335990,2008,Hyderabad,24-04-2008,League,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,field,wickets,Rajasthan Royals,3,3,215,20,YK Pathan,"Rajiv Gandhi International Stadium, Uppal",N,NA,Asad Rauf,MR Benson
335991,2008,Chandigarh,25-04-2008,League,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,runs,Kings XI Punjab,66,0,183,20,KC Sangakkara,"Punjab Cricket Association Stadium, Mohali",N,NA,Aleem Dar,AM Saheba
335992,2008,Bangalore,26-04-2008,League,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,wickets,Rajasthan Royals,7,7,136,20,SR Watson,M Chinnaswamy Stadium,N,NA,MR Benson,IL Howell
335993,2008,Chennai,26-04-2008,League,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,wickets,Chennai Super Kings,9,9,148,20,JDP Oram,"MA Chidambaram Stadium, Chepauk",N,NA,BF Bowden,AV Jayaprakash
335994,2008,Mumbai,27-04-2008,League,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,wickets,Deccan Chargers,10,10,155,20,AC Gilchrist,Dr DY Patil Sports Academy,N,NA,Asad Rauf,SL Shastri
335995,2008,Chandigarh,27-04-2008,League,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,bat,wickets,Kings XI Punjab,4,4,159,20,SM Katich,"Punjab Cricket Association Stadium, Mohali",N,NA,RE Koertzen,I Shivram
335996,2008,Bangalore,28-04-2008,League,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,runs,Chennai Super Kings,13,0,179,20,MS Dhoni,M Chinnaswamy Stadium,N,NA,BR Doctrove,RB Tiffin
335997,2008,Kolkata,29-04-2008,League,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,wickets,Mumbai Indians,7,7,138,20,ST Jayasuriya,Eden Gardens,N,NA,BF Bowden,AV Jayaprakash
335998,2008,Delhi,30-04-2008,League,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,runs,Delhi Daredevils,10,0,192,20,GD McGrath,Feroz Shah Kotla,N,NA,Aleem Dar,I Shivram
